rjd	vrad	svrad	fwhm	sig_fwhm	bis_span	sig_bis_span	contrast	sig_contrast	s_mw	sig_s	ha	sig_ha	na	sig_na	ca	sig_ca	rhk	sig_rhk	prot_m08	sig_prot_m08	prot_n84	sig_prot_n84	berv
58718.92350023985	48824.469064	0.947705	6367.031254	9.004342	41.905627	1.340257	49.204575	0.000001	0.409866	0.003074	0.332530	0.001068	0.129951	0.000415	0.318704	0.001792	0.000000	0.000001	undefined	0.000001	undefined	0.000001	17.964055
58719.91795756016	48825.887980	1.014998	6365.490016	9.002162	39.161081	1.435423	49.214334	0.000001	0.407513	0.003455	0.330394	0.001188	0.130520	0.000462	0.317115	0.001962	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.083429
58720.914371389896	48830.658857	1.217497	6361.829505	8.996986	34.820179	1.721801	49.235351	0.000001	0.391843	0.005149	0.331208	0.001526	0.130416	0.000598	0.307207	0.002671	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.194226
58721.841140170116	48831.282317	0.938339	6359.247520	8.993334	37.843595	1.327011	49.253609	0.000001	0.386597	0.003177	0.329100	0.001015	0.129756	0.000401	0.302345	0.001817	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.406278
58721.92195523018	48833.163961	1.081768	6362.348436	8.997719	36.823991	1.529851	49.229582	0.000001	0.384790	0.004179	0.328629	0.001299	0.129626	0.000511	0.300121	0.002261	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.278895
58722.84595795022	48832.512275	0.909109	6361.345074	8.996300	37.932953	1.285675	49.231471	0.000001	0.388982	0.002745	0.326981	0.000983	0.128643	0.000383	0.304301	0.001620	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.496456
58722.925696589984	48835.045737	0.875514	6361.971110	8.997186	40.089897	1.238163	49.199476	0.000001	0.390088	0.002498	0.326618	0.000896	0.129509	0.000354	0.303910	0.001502	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.365129
58723.837002070155	48829.653973	1.076760	6362.959871	8.998584	36.559940	1.522769	49.213822	0.000001	0.385600	0.004158	0.332949	0.001277	0.130235	0.000499	0.302718	0.002250	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.597874
58723.91862743022	48834.065491	0.904696	6362.846537	8.998424	39.794877	1.279433	49.235699	0.000001	0.386963	0.002635	0.331549	0.000964	0.129694	0.000376	0.302391	0.001570	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.467096
58724.84748056019	48830.316758	1.256571	6363.703916	8.999636	32.715192	1.777060	49.242751	0.000001	0.394573	0.005767	0.334247	0.001557	0.130313	0.000611	0.308030	0.002929	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.669530
58724.92816836992	48832.745433	1.428000	6364.627397	9.000942	40.411802	2.019497	48.917369	0.000001	0.389584	0.006650	0.329538	0.001824	0.130893	0.000720	0.306862	0.003267	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.530534
58725.84199769981	48832.109366	1.271411	6359.938694	8.994312	32.653692	1.798047	49.282712	0.000001	0.381334	0.005893	0.327953	0.001591	0.130495	0.000629	0.298459	0.002958	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.755723
58725.915659639984	48832.399778	1.472919	6355.783530	8.988435	38.359213	2.083023	49.227801	0.000001	0.384294	0.007070	0.333716	0.001950	0.129461	0.000753	0.298300	0.003393	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.632296
58726.80977733992	48832.560694	1.039424	6366.655960	9.003811	33.000576	1.469968	49.250400	0.000001	0.384884	0.004122	0.333055	0.001207	0.130171	0.000472	0.297686	0.002227	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.866126
58726.848356110044	48833.012474	1.019294	6363.934861	8.999963	34.367612	1.441499	49.254001	0.000001	0.390256	0.003744	0.333207	0.001196	0.129536	0.000464	0.301454	0.002067	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.820065
58726.89857912995	48833.221740	1.091447	6363.287542	8.999048	33.253009	1.543540	49.292672	0.000001	0.394380	0.004278	0.332023	0.001333	0.129993	0.000518	0.308843	0.002313	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.736423
58727.84384605009	48833.161496	0.966515	6371.749614	9.011015	34.100151	1.366859	49.238469	0.000001	0.394579	0.003197	0.332804	0.001075	0.129853	0.000417	0.311500	0.001835	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.893484
58727.87860515015	48833.530425	0.966319	6365.355368	9.001972	33.537523	1.366582	49.254848	0.000001	0.394767	0.003150	0.331835	0.001082	0.129115	0.000418	0.309114	0.001809	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.838468
58727.91391984001	48831.130179	1.009188	6366.621559	9.003763	33.264185	1.427207	49.265032	0.000001	0.397802	0.003486	0.333239	0.001171	0.129690	0.000452	0.312470	0.001966	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.771786
58728.82674283022	48833.066242	0.913934	6370.446085	9.009171	34.772482	1.292497	49.221736	0.000001	0.392113	0.002911	0.332346	0.000972	0.130265	0.000380	0.306079	0.001698	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.977661
58728.86109681986	48832.055272	0.922893	6373.327318	9.013246	38.128921	1.305168	49.232854	0.000001	0.396683	0.002884	0.333091	0.001012	0.130522	0.000393	0.308005	0.001686	0.000000	0.000001	undefined	0.000001	undefined	0.000001	18.928306
